title,link,watched
"Урок 228-а (осн, запись 2014 года). ЛР по теме ""Строение ядра""",https://www.youtube.com/watch?v=-7-WZ58IVZk&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=1,Yes
Урок 1. Физические величины и их измерение,https://www.youtube.com/watch?v=XqCNajiaW3U&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=2,Yes
Урок 2. Точность физических величин,https://www.youtube.com/watch?v=AlKy1Oc0x-U&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=3,Yes
Урок 3. Погрешность прямых измерений,https://www.youtube.com/watch?v=PmAOjwABf-M&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=4,Yes
Урок 4. Погрешность косвенных измерений,https://www.youtube.com/watch?v=n8IgntrRc2s&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=5,Yes
Урок 5. Вычисление случайной погрешности,https://www.youtube.com/watch?v=mrBLA93wZb4&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=6,Yes
Урок 6. Задачи на вычисление погрешностей,https://www.youtube.com/watch?v=ImtkDBPOYAU&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=7,Yes
Урок 7. Механическое движение. Основные определения кинематики.,https://www.youtube.com/watch?v=eZy2wp5XINY&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=8,Yes
Урок 8. Векторные величины. Действия над векторами.,https://www.youtube.com/watch?v=4vqRWYugy2s&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=9,Yes
Урок 9. Проекции вектора на координатные оси,https://www.youtube.com/watch?v=I_u9Ut-g-q4&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=10,Yes
Урок 10. Действия над проекциями вектора,https://www.youtube.com/watch?v=gaF_rgLOt8w&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=11,Yes
Урок 11. Решение задач на действия с векторами,https://www.youtube.com/watch?v=-PCNwv_NXag&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=12,Yes
Урок 12. Равномерное прямолинейное движение,https://www.youtube.com/watch?v=uX2vilBO4tE&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=13,Yes
Урок 13. Решение задач на РПД,https://www.youtube.com/watch?v=kGAB_zwpcpc&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=14,Yes
Урок 14. Графическое описание РПД,https://www.youtube.com/watch?v=0Fv0B4hX3vw&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=15,Yes
Урок 15. Решение задач на графики движения,https://www.youtube.com/watch?v=2KF6mkOQod0&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=16,Yes
Урок 16. Решение задач на графики РПД (продолжение),https://www.youtube.com/watch?v=yZbWFMURfB8&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=17,Yes
